id,rating,coffee_type,drink_name,review_body,date,store_id,store_name,store_pic,store_url
PeVcbth1WfbhUO6FoFxS4UflEuC2,2,18,Ariana Grande,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,2021-07-28 22:23:22,yOc5CZ5VxHGqj96RUuZCMA,Dun-Well Doughnuts,https://s3-media3.fl.yelpcdn.com/bphoto/vepoKVhbv5oMxz9MAo6oDA/o.jpg,https://www.yelp.com/biz/dun-well-doughnuts-brooklyn?adjust_creative=fDyZvwwaQJ4MBHhwkHYmZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fDyZvwwaQJ4MBHhwkHYmZw
FZa0VacVaSRy6SPJhOMMlSGywq02,4,19,Chris-bean-a Aguilera,Nullam porttitor lacus at turpis.,2020-10-05 11:57:51,A8jRnZGiMJiMpfHt8qKV3w,Fiction Bar/Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/GdhN-_6OZFkK2cjiN449rw/o.jpg,https://www.yelp.com/biz/fiction-bar-cafe-brooklyn?adjust_creative=fDyZvwwaQJ4MBHhwkHYmZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fDyZvwwaQJ4MBHhwkHYmZw
55f8iny1pIYQqXBIADL9758oLVG2,1,14,Brew Brees,Pellentesque ultrices mattis odio.,2021-08-03 10:08:08,1RRD6Ub4QEW9ZeyaBMx5jQ,Mountain Province,https://s3-media1.fl.yelpcdn.com/bphoto/DzRd6_P0_a1zc-4lTCjstA/o.jpg,https://www.yelp.com/biz/mountain-province-brooklyn?adjust_creative=fDyZvwwaQJ4MBHhwkHYmZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fDyZvwwaQJ4MBHhwkHYmZw
FZa0VacVaSRy6SPJhOMMlSGywq02,5,22,For Whom the Bean Tolls,Duis bibendum. Morbi non quam nec dui luctus rutrum.,2021-04-27 16:56:11,QaDOWy4-11982JWIxpImNQ,Little Choc Apothecary,https://s3-media2.fl.yelpcdn.com/bphoto/BUKMzplkH-8Ubnk69V59DA/o.jpg,https://www.yelp.com/biz/little-choc-apothecary-brooklyn-2?adjust_creative=fDyZvwwaQJ4MBHhwkHYmZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fDyZvwwaQJ4MBHhwkHYmZw
2a5DvFabTXVJdjIVanwxyBayfqW2,1,3,Bean-yonce,Morbi quis tortor id nulla ultrices aliquet.,2021-03-24 16:20:55,A8jRnZGiMJiMpfHt8qKV3w,Fiction Bar/Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/GdhN-_6OZFkK2cjiN449rw/o.jpg,https://www.yelp.com/biz/fiction-bar-cafe-brooklyn?adjust_creative=fDyZvwwaQJ4MBHhwkHYmZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fDyZvwwaQJ4MBHhwkHYmZw
U2P94dDKTXWlUWGsmDJmeriLO3O2,1,22,Bean Affleck,Nullam varius. Nulla facilisi.,2020-12-01 19:55:20,yOc5CZ5VxHGqj96RUuZCMA,Dun-Well Doughnuts,https://s3-media3.fl.yelpcdn.com/bphoto/vepoKVhbv5oMxz9MAo6oDA/o.jpg,https://www.yelp.com/biz/dun-well-doughnuts-brooklyn?adjust_creative=fDyZvwwaQJ4MBHhwkHYmZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fDyZvwwaQJ4MBHhwkHYmZw
55f8iny1pIYQqXBIADL9758oLVG2,4,18,Paul Brewman,Quisque id justo sit amet sapien dignissim vestibulum.,2020-11-06 01:12:23,X3ToKHjzofO8EzfiHYewWg,Brooklyn Blend,https://s3-media3.fl.yelpcdn.com/bphoto/CoKqf_70jcdPE64psMVhqw/o.jpg,https://www.yelp.com/biz/brooklyn-blend-brooklyn?adjust_creative=fDyZvwwaQJ4MBHhwkHYmZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fDyZvwwaQJ4MBHhwkHYmZw
U2P94dDKTXWlUWGsmDJmeriLO3O2,5,14,Chris-bean-a Aguilera,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",2021-06-12 16:28:16,yOc5CZ5VxHGqj96RUuZCMA,Dun-Well Doughnuts,https://s3-media3.fl.yelpcdn.com/bphoto/vepoKVhbv5oMxz9MAo6oDA/o.jpg,https://www.yelp.com/biz/dun-well-doughnuts-brooklyn?adjust_creative=fDyZvwwaQJ4MBHhwkHYmZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fDyZvwwaQJ4MBHhwkHYmZw
55f8iny1pIYQqXBIADL9758oLVG2,5,3,Chris-bean-a Aguilera,Pellentesque ultrices mattis odio.,2021-04-11 16:01:16,YpGxtJy9ErnjfGG6DXy5uA,Sweatshop Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/cx_7Aqq55YRL4rs-Hj3yeg/o.jpg,https://www.yelp.com/biz/sweatshop-cafe-brooklyn?adjust_creative=fDyZvwwaQJ4MBHhwkHYmZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fDyZvwwaQJ4MBHhwkHYmZw
mqsrv4xorEe2r1hk6RkDSxdeF2d2,4,1,David Coffeefield,Aenean sit amet justo. Morbi ut odio.,2020-10-26 02:49:35,-zzMDQkhZzrnBUdrfpG3Ng,Ange Noir Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/MJXFQiupyHgYXi56VD7k7Q/o.jpg,https://www.yelp.com/biz/ange-noir-cafe-brooklyn?adjust_creative=fDyZvwwaQJ4MBHhwkHYmZw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=fDyZvwwaQJ4MBHhwkHYmZw
